,Price,Apartment type,Metro station,Minutes to metro,Region,Number of rooms,Area,Living area,Kitchen area,Floor,Number of floors,Renovation,Ring,Area_to_rooms
9218,25500000.0,Secondary,Юго-Западная,14.0,Moscow,3,74.9,40.0,10.0,6,17,Cosmetic,Beyond_rings,24.96666666666667
9219,14200000.0,Secondary,Новогиреево,24.0,Moscow,3,59.5,43.0,6.0,2,9,Cosmetic,Beyond_rings,19.833333333333332
9220,28350000.0,Secondary,Комсомольская,10.0,Moscow,3,71.1,48.0,10.0,5,14,Cosmetic,Beyond_rings,23.7
9221,15882000.0,Secondary,Медведково,16.0,Moscow,3,69.9,39.9,13.8,6,18,Cosmetic,Beyond_rings,23.3
9222,20500000.0,Secondary,Молодежная,14.0,Moscow,3,73.8,45.0,10.1,11,17,European-style renovation,Beyond_rings,24.599999999999998
9223,28000000.0,Secondary,Народное Ополчение,7.0,Moscow,3,81.4,51.3,21.0,2,19,European-style renovation,Third_ring,27.133333333333336
9224,14500000.0,Secondary,Люблино,6.0,Moscow,3,58.7,45.0,6.0,1,9,Cosmetic,Beyond_rings,19.566666666666666
9225,20500000.0,Secondary,Петровско-Разумовская,11.0,Moscow,3,81.3,53.0,9.8,5,8,Cosmetic,Third_ring,27.099999999999998
9226,43000000.0,Secondary,Юго-Западная,7.0,Moscow,3,85.7,56.0,10.0,26,33,Designer,Beyond_rings,28.566666666666666
9227,16000000.0,Secondary,Речной вокзал,24.0,Moscow,3,58.9,44.9,5.9,4,9,European-style renovation,Beyond_rings,19.633333333333333
9230,13600000.0,Secondary,Южная,16.0,Moscow,3,63.0,46.0,8.0,1,9,Cosmetic,Beyond_rings,21.0
9231,21000000.0,Secondary,Раменки,12.0,Moscow,3,64.8,45.6,8.0,3,16,Cosmetic,Third_ring,21.599999999999998
9232,27000000.0,Secondary,Курская,2.0,Moscow,3,80.8,51.2,12.0,2,9,European-style renovation,Sadovoe,26.933333333333334
9235,23000000.0,Secondary,Новогиреево,18.0,Moscow,3,82.6,46.0,11.0,3,14,Cosmetic,Beyond_rings,27.53333333333333
9236,12500000.0,Secondary,Щелковская,18.0,Moscow,3,58.1,44.5,5.8,2,9,European-style renovation,Beyond_rings,19.366666666666667
9237,25000000.0,Secondary,Раменки,7.0,Moscow,3,75.0,47.0,12.0,16,17,Cosmetic,Third_ring,25.0
9239,21500000.0,Secondary,Нагорная,14.0,Moscow,3,71.7,52.4,8.1,4,5,European-style renovation,Beyond_rings,23.900000000000002
9240,34000000.0,Secondary,Белорусская,12.0,Moscow,3,70.0,50.0,12.0,3,8,European-style renovation,Sadovoe,23.333333333333332
9241,19600000.0,Secondary,Марьино,11.0,Moscow,3,75.1,44.0,10.0,6,17,European-style renovation,Beyond_rings,25.03333333333333
9243,39500000.0,Secondary,Юго-Западная,14.0,Moscow,3,105.4,62.5,13.0,3,21,European-style renovation,Beyond_rings,35.13333333333333
9244,15800000.0,Secondary,Некрасовка,25.0,Moscow,3,77.9,43.7,9.3,8,16,Cosmetic,Beyond_rings,25.96666666666667
9245,17200000.0,Secondary,Некрасовка,6.0,Moscow,3,74.4,44.8,12.9,15,17,Cosmetic,Beyond_rings,24.8
9247,16900000.0,Secondary,Тушинская,22.0,Moscow,3,65.4,38.0,17.0,6,25,Without renovation,Beyond_rings,21.8
9248,30500000.0,Secondary,Полянка,2.0,Moscow,3,63.3,44.0,9.5,15,14,European-style renovation,Sadovoe,21.099999999999998
9253,21599999.0,Secondary,Алексеевская,11.0,Moscow,3,63.0,34.0,8.0,12,27,Without renovation,Third_ring,21.0
9254,16477000.0,Secondary,Саларьево,26.0,Moscow,3,76.0,50.0,12.0,18,22,Without renovation,Beyond_rings,25.333333333333332
9256,15200000.0,Secondary,Планерная,3.0,Moscow,3,56.8,38.2,7.7,8,9,Cosmetic,Beyond_rings,18.933333333333334
9257,22350000.0,Secondary,Коньково,7.0,Moscow,3,74.8,45.5,10.2,4,17,Cosmetic,Beyond_rings,24.933333333333334
9258,20500000.0,Secondary,Митино,8.0,Moscow,3,77.3,44.7,10.0,21,22,Cosmetic,Beyond_rings,25.766666666666666
